,Unnamed: 0,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
63,588,Arabica,"ceca, s.a.",Costa Rica,gamboa,8866-2,beneficio montañas del diamante,5-025-0109,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,250,69 kg,Specialty Coffee Association of Costa Rica,2016,"April 28th, 2017","CECA, S.A.",Caturra,Washed / Wet,7.58,7.5,7.42,7.67,7.42,7.5,10.0,10.0,10.0,7.67,82.75,0.09,0,0.0,Bluish-Green,1,"April 28th, 2018",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850.0,1850.0,1850.0
64,589,Arabica,bismarck castro,Honduras,los hicaques,103,cigrah s.a de c.v.,13-111-053,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2017,"April 6th, 2017",Bismarck Castro,Caturra,Natural / Dry,7.58,7.5,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.67,82.75,0.09,0,1.0,Green,6,"April 6th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400.0,1400.0,1400.0
65,590,Arabica,ipanema coffees,Brazil,capoeirinha,260/15,dry mill,002/1660/0048,ipanema coffees,905,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2015,"April 25th, 2016",Ipanema Coffees,Yellow Bourbon,Pulped natural / honey,7.5,7.5,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,2.0,Bluish-Green,1,"April 25th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,905.0,905.0,905.0
66,592,Arabica,yunnan coffee exchange,China,pu'er lingdu yunlin coffee co.ltd,YNC-16014,pu'er lingdu yunlin coffee co.ltd mill,5300343627999,yunnan coffee exchange,1500,menglian,Pu'er Lingdu Yunlin Coffee Co.LTD,3,60 kg,Yunnan Coffee Exchange,2015,"April 5th, 2016",Yunnan Coffee Exchange,Catimor,Washed / Wet,7.5,7.67,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.5,82.75,0.11,0,0.0,Green,2,"April 5th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1500.0,1500.0,1500.0
67,608,Arabica,ipanema coffees,Brazil,capoeirinha,019/17,dry mill,002/1660/0079,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.58,7.25,7.75,7.58,7.5,10.0,10.0,10.0,7.5,82.67,0.0,0,0.0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890.0,890.0,890.0
68,609,Arabica,ipanema coffees,Brazil,capoeirinha,007/16D,dry mill,002/1660/0105,ipanema coffees,934,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.58,7.5,7.67,7.5,7.42,10.0,10.0,10.0,7.5,82.67,0.11,0,2.0,Bluish-Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,934.0,934.0,934.0
69,611,Arabica,consejo salvadoreño del café,El Salvador,el barbaro,1,santa adelaida,09-0488-001,consejo salvadoreño del café,1200,"el balsamo, quezaltepec","El Barbaro, S.A. de C.V.",275,69 kg,Salvadoran Coffee Council,2016,"March 29th, 2016",Consejo Salvadoreño del Café,Pacas,Washed / Wet,7.67,7.67,7.67,7.67,7.5,7.67,10.0,10.0,9.33,7.5,82.67,0.0,0,0.0,Green,7,"March 29th, 2017",Salvadoran Coffee Council,3d4987e3b91399dbb3938b5bdf53893b6ef45be1,27b21e368fb8291cbea02c60623fe6c98f84524d,m,1200.0,1200.0,1200.0
70,634,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0634,beneficio ixchel,11/23/0634,"unex guatemala, s.a.",4000,oriente,JESUS RAMIREZ,25,69 kg,Asociacion Nacional Del Café,2017,"September 8th, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.42,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.5,82.58,0.1,0,1.0,Green,2,"September 8th, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
71,635,Arabica,"lin, che-hao krude 林哲豪",Taiwan,林園咖啡 lin yuan coffee,2017南投咖啡評鑑 NANTOU COFFEE EVALUATION EVENT 2017,林園咖啡 lin yuan coffee,Taiwan,taiwan coffee laboratory,1050,國姓鄉 guoshing township,林文弘 Lin Wen Hong,6,5 kg,Specialty Coffee Association,2016,"August 22nd, 2017","Lin, Che-Hao Krude 林哲豪",Typica,Pulped natural / honey,7.67,7.42,7.5,7.42,7.58,7.5,10.0,10.0,10.0,7.5,82.58,0.11,0,5.0,Green,0,"August 22nd, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1050.0,1050.0,1050.0
72,654,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,020/17,dry mill,002/1660/0080,ipanema coffees,890,south of minas,Ipanema Agricola S.A,320,60 kg,Brazil Specialty Coffee Association,2017 / 2018,"October 20th, 2017",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.5,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.42,82.5,0.11,0,0.0,Green,4,"October 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,890.0,890.0,890.0
73,656,Arabica,elsy reyes,Honduras,las cuchillas,165,cigrah s.a de c.v.,13-111-097,cigrah,1400,comayagua,Nahun Maldonado,275,69 kg,Instituto Hondureño del Café,2017,"June 3rd, 2017",Elsy Reyes,Caturra,Washed / Wet,7.58,7.58,7.33,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,0.0,Green,4,"June 3rd, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400.0,1400.0,1400.0
74,657,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0146,beneficio ixchel,11/23/0146,"unex guatemala, s.a.",4000,oriente,MARGARITA AVILA DE NUYENS,50,69 kg,Asociacion Nacional Del Café,2016,"March 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.33,7.5,7.67,7.5,10.0,10.0,10.0,7.5,82.5,0.1,0,2.0,Green,2,"March 16th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
75,676,Arabica,juan luis alvarado romero,Guatemala,piamonte,11/23/0639,beneficio ixchel,11/23/0639,"unex guatemala, s.a.",1700,san marcos,JORGE LEAL,50,69 kg,Asociacion Nacional Del Café,2017,"September 8th, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.33,7.75,7.33,7.5,10.0,10.0,10.0,7.42,82.42,0.1,0,1.0,Green,2,"September 8th, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700.0,1700.0,1700.0
76,677,Arabica,juan luis alvarado romero,Guatemala,las merceditas,11/23/0366,beneficio ixchel,11/23/0366,"unex guatemala, s.a.",1700,san marcos,ANGEL DE LEON,50,69 kg,Asociacion Nacional Del Café,2016,"June 1st, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.67,7.58,7.25,7.67,7.42,7.33,10.0,10.0,10.0,7.5,82.42,0.12,0,0.0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1700.0,1700.0,1700.0
77,678,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0400,beneficio ixchel,11/23/0400,"unex guatemala, s.a.",518,el progreso,JESUS RAMIREZ,20,69 kg,Asociacion Nacional Del Café,2017,"June 1st, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.25,7.67,7.5,7.5,10.0,10.0,10.0,7.42,82.42,0.12,0,0.0,Green,0,"June 1st, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,157.8864,157.8864,157.8864
78,706,Arabica,bismarck castro,Honduras,los hicaques,63,cigrah s.a de c.v.,13-111-022,cigrah s.a de c.v,1396,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2017,"April 6th, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.58,7.33,7.5,7.42,7.42,10.0,10.0,10.0,7.58,82.33,0.1,0,1.0,Green,8,"April 6th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1396.0,1396.0,1396.0
79,709,Arabica,ipanema coffees,Brazil,capoeirinha,008/16B,dry mill,002/1660/0106,ipanema coffees,934,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.5,7.42,7.5,7.42,7.5,10.0,10.0,10.0,7.5,82.33,0.11,0,2.0,Bluish-Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,934.0,934.0,934.0
80,710,Arabica,"ceca, s.a.",Costa Rica,gamboa,8270,beneficio montañas del diamante,5-025-0294,"ceca,s.a.",1850,tarrazu,Martin Gutierrez,100,69 kg,Specialty Coffee Association of Costa Rica,2015,"July 15th, 2016","CECA, S.A.",Caturra,Washed / Wet,7.75,7.5,7.25,7.25,7.42,7.67,10.0,10.0,10.0,7.5,82.33,0.1,6,1.0,Bluish-Green,3,"July 15th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1850.0,1850.0,1850.0
81,711,Arabica,rodrigo soto,Costa Rica,rio jorco,Tarrazu,rio jorco,5/423/0127,panamerican coffee trading,1550,tarrazu,Johanna,130,69 kg,Specialty Coffee Association of Costa Rica,2015,"May 17th, 2016",Rodrigo Soto,Catuai,Washed / Wet,7.75,7.33,7.5,7.5,7.33,7.58,10.0,10.0,10.0,7.33,82.33,0.0,0,2.0,Green,0,"May 17th, 2017",Specialty Coffee Association of Costa Rica,8e0b118f3cf3121ab27c5387deacdb7d4d2a60b1,5eb2b7129d9714c43825e44dc3bca9423de209e9,m,1550.0,1550.0,1550.0
82,737,Arabica,juan luis alvarado romero,Guatemala,linda vista,11/973/158,beneficio humedo,11/973/158,mercon guatemala s.a.,1450,nuevo oriente,PABLO CHUY,275,69 kg,Asociacion Nacional Del Café,2016,"August 31st, 2016",Juan Luis Alvarado Romero,Pacas,Washed / Wet,7.67,7.5,7.25,7.67,7.42,7.42,10.0,10.0,10.0,7.33,82.25,0.11,0,2.0,Green,2,"August 31st, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1450.0,1450.0,1450.0
83,757,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,007/16C,dry mill,002/1660/0105,ipanema coffees,934,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.42,7.42,7.5,7.42,7.42,7.5,10.0,10.0,10.0,7.5,82.17,0.11,0,1.0,Green,5,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,934.0,934.0,934.0
84,758,Arabica,bismarck castro,Honduras,las cuchillas,118,dry mill,13-111-054,cigrah s.a de c.v,1500,comayagua,Nahun Maldonado,200,69 kg,Instituto Hondureño del Café,2015,"June 9th, 2016",Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.58,82.17,0.11,0,1.0,Bluish-Green,2,"June 9th, 2017",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1500.0,1500.0,1500.0
85,780,Arabica,ipanema coffees,Brazil,fazenda capoeirnha,007/16B,dry mill,002/1660/0105,ipanema coffees,894,south of minas,Ipanema Agricola,320,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.42,7.58,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.5,82.08,0.11,0,1.0,Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,894.0,894.0,894.0
86,795,Arabica,bismarck castro,Honduras,las moras,47,cigrah s.a de c.v.,13-111-024,cigrah s.a de c.v,1600,el paraíso,Santos Fonseca,275,69 kg,Instituto Hondureño del Café,2017,"June 1st, 2017",Bismarck Castro,Caturra,Washed / Wet,7.5,7.5,7.17,7.5,7.5,7.42,10.0,10.0,10.0,7.42,82.0,0.12,0,0.0,Green,1,"June 1st, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1600.0,1600.0,1600.0
87,796,Arabica,bismarck castro,Honduras,las moras,47,cigrah s.a de c.v.,13-111-024,cigrah s.a de c.v,1600,guinope el paraíso,Santos Fonseca,275,69 kg,Instituto Hondureño del Café,2016,"April 6th, 2017",Bismarck Castro,Caturra,Natural / Dry,7.5,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.5,82.0,0.1,0,1.0,Green,7,"April 6th, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1600.0,1600.0,1600.0
88,797,Arabica,ipanema coffees,Brazil,capoeirinha,007/16G,dry mill,002/1660/0105,ipanema coffees,944,south of minas,Ipanema Agricola,230,60 kg,Brazil Specialty Coffee Association,2016,"August 16th, 2016",Ipanema Coffees,Bourbon,Natural / Dry,7.5,7.33,7.42,7.5,7.33,7.42,10.0,10.0,10.0,7.5,82.0,0.11,0,2.0,Green,3,"August 16th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,944.0,944.0,944.0
89,816,Arabica,juan luis alvarado romero,Guatemala,la esperanza,11/23/0633,beneficio ixchel,11/23/0633,"unex guatemala, s.a.",1901,oriente,"AGRICOLA EL PILAR, S.A.",25,69 kg,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,7.58,81.92,0.1,0,0.0,Green,1,"August 22nd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,1901.0,1901.0,1901.0
90,817,Arabica,juan luis alvarado romero,Guatemala,las delicias,11/23/0515,beneficio ixchel,11/23/0515,"unex guatemala, s.a.",4000,santa rosa,OTTO BECKER,50,69 kg,Asociacion Nacional Del Café,2017,"June 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.42,81.92,0.11,0,2.0,Green,0,"June 22nd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,1219.2,1219.2,1219.2
91,818,Arabica,bismarck castro,Honduras,los hicaques,63,cigrah s.a de c.v.,13-111-022,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,274,67 kg,Instituto Hondureño del Café,2017,"June 1st, 2017",Bismarck Castro,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.33,81.92,0.12,0,0.0,Green,1,"June 1st, 2018",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1400.0,1400.0,1400.0
92,819,Arabica,gabriel barbara,Brazil,santa bárbara,2016/0002,copag,02 / 143-0 / 0044,volcafe ltda.,1020,monte carmelo,Múcio Cardoso,305,59 kg,Brazil Specialty Coffee Association,2016 / 2017,"October 26th, 2016",Gabriel Barbara,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,7.5,81.92,0.11,0,0.0,Green,4,"October 26th, 2017",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,1020.0,1020.0,1020.0
93,834,Arabica,juan luis alvarado romero,Guatemala,la esmeralda,11/23/0634,beneficio ixchel,11/23/0634,"unex guatemala, s.a.",518,oriente,JESUS RAMIREZ,25,69 kg,Asociacion Nacional Del Café,2017,"August 22nd, 2017",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.42,81.83,0.1,1,0.0,Green,1,"August 22nd, 2018",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,ft,157.8864,157.8864,157.8864
94,836,Arabica,gabriel barbara,Brazil,helena,2017/001,copag,02/0143-0/0292,volcafe ltda.,973,monte carmelo,Helena Pingnatti Ricci,200,59 kg,Brazil Specialty Coffee Association,2016,"January 20th, 2017",Gabriel Barbara,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.33,81.83,0.11,0,1.0,Green,3,"January 20th, 2018",Brazil Specialty Coffee Association,3297cfa4c538e3dd03f72cc4082c54f7999e1f9d,8900f0bf1d0b2bafe6807a73562c7677d57eb980,m,973.0,973.0,973.0
95,837,Arabica,aulia arif syahri,Indonesia,mudar,BALI INTEN DEWATA,pt. olam indonesia,015/1969/008,pt. olam indonesia,1250,bali,MUDAR,166,30 kg,Specialty Coffee Association,2015,"January 19th, 2017",Aulia Arif Syahri,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,81.83,0.11,0,1.0,Green,0,"January 19th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1250.0,1250.0,1250.0
96,838,Arabica,juan luis alvarado romero,Guatemala,chapultepec,11/23/0507,beneficio ixchel,11/23/0507,"unex guatemala, s.a.",3280,norte,CHAPULTEPEC,130,69 kg,Asociacion Nacional Del Café,2015,"August 2nd, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,81.83,0.1,2,0.0,Green,6,"August 2nd, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,3280.0,3280.0,3280.0
